Date,SPY
1995-09-27,34.53169250488281
1995-09-28,34.791473388671875
1995-09-29,34.72651672363281
1995-10-02,34.55025863647461
1995-10-03,34.58735275268555
1995-10-04,34.55025863647461
1995-10-05,34.652313232421875
1995-10-06,34.68014144897461
1995-10-09,34.392539978027344
1995-10-10,34.37397766113281
1995-10-11,34.48529815673828
1995-10-12,34.69869613647461
1995-10-13,34.81003952026367
1995-10-16,34.64303970336914
1995-10-17,34.874977111816406
1995-10-18,34.97703552246094
1995-10-19,35.14402770996094
1995-10-20,34.93063735961914
1995-10-23,34.85643005371094
1995-10-24,34.89351272583008
1995-10-25,34.605918884277344
1995-10-26,34.29047775268555
1995-10-27,34.55025863647461
1995-10-30,34.772918701171875
1995-10-31,34.624473571777344
1995-11-01,34.902793884277344
1995-11-02,35.12546920776367
